Date,semiconductor_shipments,industrial_production,global_trade_volume,crude_oil_prices,interest_rate,gdp_growth,m2_money_supply,personal_computing_sales,consumer_sentiment
2022-01-01,97.9467,101.2146,11408.197854,75.99,0.07,-1.0,21566.1,93.94,67.2
2022-01-02,97.9467,101.2146,11408.197854,75.99,0.07,-1.0,21566.1,93.94,67.2
2022-01-03,97.9467,101.2146,11408.197854,75.99,0.08,-1.0,21566.1,93.94,67.2
2022-01-04,97.9467,101.2146,11408.197854,77.0,0.08,-1.0,21566.1,93.94,67.2
2022-01-05,97.9467,101.2146,11408.197854,77.83,0.08,-1.0,21566.1,93.94,67.2
2022-01-06,97.9467,101.2146,11408.197854,79.47,0.08,-1.0,21566.1,93.94,67.2
2022-01-07,97.9467,101.2146,11408.197854,79.0,0.08,-1.0,21566.1,93.94,67.2
2022-01-08,97.9467,101.2146,11408.197854,79.0,0.08,-1.0,21566.1,93.94,67.2
2022-01-09,97.9467,101.2146,11408.197854,79.0,0.08,-1.0,21566.1,93.94,67.2
2022-01-10,97.9467,101.2146,11408.197854,78.11,0.08,-1.0,21566.1,93.94,67.2
2022-01-11,97.9467,101.2146,11408.197854,81.17,0.08,-1.0,21566.1,93.94,67.2
2022-01-12,97.9467,101.2146,11408.197854,82.51,0.08,-1.0,21566.1,93.94,67.2
2022-01-13,97.9467,101.2146,11408.197854,81.97,0.08,-1.0,21566.1,93.94,67.2
2022-01-14,97.9467,101.2146,11408.197854,83.82,0.08,-1.0,21566.1,93.94,67.2
2022-01-15,97.9467,101.2146,11408.197854,83.82,0.08,-1.0,21566.1,93.94,67.2
2022-01-16,97.9467,101.2146,11408.197854,83.82,0.08,-1.0,21566.1,93.94,67.2
2022-01-17,97.9467,101.2146,11408.197854,83.82,0.08,-1.0,21566.1,93.94,67.2
2022-01-18,97.9467,101.2146,11408.197854,85.42,0.08,-1.0,21566.1,93.94,67.2
2022-01-19,97.9467,101.2146,11408.197854,86.84,0.08,-1.0,21566.1,93.94,67.2
2022-01-20,97.9467,101.2146,11408.197854,86.29,0.08,-1.0,21566.1,93.94,67.2
2022-01-21,97.9467,101.2146,11408.197854,85.16,0.08,-1.0,21566.1,93.94,67.2
2022-01-22,97.9467,101.2146,11408.197854,85.16,0.08,-1.0,21566.1,93.94,67.2
2022-01-23,97.9467,101.2146,11408.197854,85.16,0.08,-1.0,21566.1,93.94,67.2
2022-01-24,97.9467,101.2146,11408.197854,84.48,0.08,-1.0,21566.1,93.94,67.2
2022-01-25,97.9467,101.2146,11408.197854,86.61,0.08,-1.0,21566.1,93.94,67.2
2022-01-26,97.9467,101.2146,11408.197854,88.33,0.08,-1.0,21566.1,93.94,67.2
2022-01-27,97.9467,101.2146,11408.197854,87.61,0.08,-1.0,21566.1,93.94,67.2
2022-01-28,97.9467,101.2146,11408.197854,87.67,0.08,-1.0,21566.1,93.94,67.2
2022-01-29,97.9467,101.2146,11408.197854,87.67,0.08,-1.0,21566.1,93.94,67.2
2022-01-30,97.9467,101.2146,11408.197854,87.67,0.08,-1.0,21566.1,93.94,67.2
2022-01-31,97.9467,101.2146,11408.197854,89.16,0.08,-1.0,21566.1,93.94,67.2
2022-02-01,94.4255,101.8458,11613.27512,88.22,0.08,-1.0,21621.0,96.944,62.8
2022-02-02,94.4255,101.8458,11613.27512,88.16,0.08,-1.0,21621.0,96.944,62.8
2022-02-03,94.4255,101.8458,11613.27512,90.17,0.08,-1.0,21621.0,96.944,62.8
2022-02-04,94.4255,101.8458,11613.27512,92.27,0.08,-1.0,21621.0,96.944,62.8
2022-02-05,94.4255,101.8458,11613.27512,92.27,0.08,-1.0,21621.0,96.944,62.8
2022-02-06,94.4255,101.8458,11613.27512,92.27,0.08,-1.0,21621.0,96.944,62.8
2022-02-07,94.4255,101.8458,11613.27512,91.25,0.08,-1.0,21621.0,96.944,62.8
2022-02-08,94.4255,101.8458,11613.27512,89.32,0.08,-1.0,21621.0,96.944,62.8
2022-02-09,94.4255,101.8458,11613.27512,89.57,0.08,-1.0,21621.0,96.944,62.8
2022-02-10,94.4255,101.8458,11613.27512,89.83,0.08,-1.0,21621.0,96.944,62.8
2022-02-11,94.4255,101.8458,11613.27512,93.1,0.08,-1.0,21621.0,96.944,62.8
2022-02-12,94.4255,101.8458,11613.27512,93.1,0.08,-1.0,21621.0,96.944,62.8
2022-02-13,94.4255,101.8458,11613.27512,93.1,0.08,-1.0,21621.0,96.944,62.8
2022-02-14,94.4255,101.8458,11613.27512,95.52,0.08,-1.0,21621.0,96.944,62.8
2022-02-15,94.4255,101.8458,11613.27512,92.07,0.08,-1.0,21621.0,96.944,62.8
2022-02-16,94.4255,101.8458,11613.27512,93.83,0.08,-1.0,21621.0,96.944,62.8
2022-02-17,94.4255,101.8458,11613.27512,91.78,0.08,-1.0,21621.0,96.944,62.8
2022-02-18,94.4255,101.8458,11613.27512,91.26,0.08,-1.0,21621.0,96.944,62.8
2022-02-19,94.4255,101.8458,11613.27512,91.26,0.08,-1.0,21621.0,96.944,62.8
2022-02-20,94.4255,101.8458,11613.27512,91.26,0.08,-1.0,21621.0,96.944,62.8
2022-02-21,94.4255,101.8458,11613.27512,91.26,0.08,-1.0,21621.0,96.944,62.8
2022-02-22,94.4255,101.8458,11613.27512,92.11,0.08,-1.0,21621.0,96.944,62.8
2022-02-23,94.4255,101.8458,11613.27512,92.14,0.08,-1.0,21621.0,96.944,62.8
2022-02-24,94.4255,101.8458,11613.27512,92.77,0.08,-1.0,21621.0,96.944,62.8
2022-02-25,94.4255,101.8458,11613.27512,91.68,0.08,-1.0,21621.0,96.944,62.8
2022-02-26,94.4255,101.8458,11613.27512,91.68,0.08,-1.0,21621.0,96.944,62.8
2022-02-27,94.4255,101.8458,11613.27512,91.68,0.08,-1.0,21621.0,96.944,62.8
2022-02-28,94.4255,101.8458,11613.27512,96.13,0.08,-1.0,21621.0,96.944,62.8
2022-03-01,101.3241,102.6732,13619.382074,103.66,0.08,-1.0,21722.8,99.027,59.4
2022-03-02,101.3241,102.6732,13619.382074,110.74,0.08,-1.0,21722.8,99.027,59.4
2022-03-03,101.3241,102.6732,13619.382074,107.69,0.08,-1.0,21722.8,99.027,59.4
2022-03-04,101.3241,102.6732,13619.382074,115.77,0.08,-1.0,21722.8,99.027,59.4
2022-03-05,101.3241,102.6732,13619.382074,115.77,0.08,-1.0,21722.8,99.027,59.4
2022-03-06,101.3241,102.6732,13619.382074,115.77,0.08,-1.0,21722.8,99.027,59.4
2022-03-07,101.3241,102.6732,13619.382074,119.26,0.08,-1.0,21722.8,99.027,59.4
2022-03-08,101.3241,102.6732,13619.382074,123.64,0.08,-1.0,21722.8,99.027,59.4
2022-03-09,101.3241,102.6732,13619.382074,108.81,0.08,-1.0,21722.8,99.027,59.4
2022-03-10,101.3241,102.6732,13619.382074,105.93,0.08,-1.0,21722.8,99.027,59.4
2022-03-11,101.3241,102.6732,13619.382074,109.31,0.08,-1.0,21722.8,99.027,59.4
2022-03-12,101.3241,102.6732,13619.382074,109.31,0.08,-1.0,21722.8,99.027,59.4
2022-03-13,101.3241,102.6732,13619.382074,109.31,0.08,-1.0,21722.8,99.027,59.4
2022-03-14,101.3241,102.6732,13619.382074,103.22,0.08,-1.0,21722.8,99.027,59.4
2022-03-15,101.3241,102.6732,13619.382074,96.42,0.08,-1.0,21722.8,99.027,59.4
2022-03-16,101.3241,102.6732,13619.382074,94.85,0.08,-1.0,21722.8,99.027,59.4
2022-03-17,101.3241,102.6732,13619.382074,102.97,0.33,-1.0,21722.8,99.027,59.4
2022-03-18,101.3241,102.6732,13619.382074,104.69,0.33,-1.0,21722.8,99.027,59.4
2022-03-19,101.3241,102.6732,13619.382074,104.69,0.33,-1.0,21722.8,99.027,59.4
2022-03-20,101.3241,102.6732,13619.382074,104.69,0.33,-1.0,21722.8,99.027,59.4
2022-03-21,101.3241,102.6732,13619.382074,112.14,0.33,-1.0,21722.8,99.027,59.4
2022-03-22,101.3241,102.6732,13619.382074,111.03,0.33,-1.0,21722.8,99.027,59.4
2022-03-23,101.3241,102.6732,13619.382074,114.89,0.33,-1.0,21722.8,99.027,59.4
2022-03-24,101.3241,102.6732,13619.382074,114.2,0.33,-1.0,21722.8,99.027,59.4
2022-03-25,101.3241,102.6732,13619.382074,116.2,0.33,-1.0,21722.8,99.027,59.4
2022-03-26,101.3241,102.6732,13619.382074,116.2,0.33,-1.0,21722.8,99.027,59.4
2022-03-27,101.3241,102.6732,13619.382074,116.2,0.33,-1.0,21722.8,99.027,59.4
2022-03-28,101.3241,102.6732,13619.382074,107.55,0.33,-1.0,21722.8,99.027,59.4
2022-03-29,101.3241,102.6732,13619.382074,104.25,0.33,-1.0,21722.8,99.027,59.4
2022-03-30,101.3241,102.6732,13619.382074,107.81,0.33,-1.0,21722.8,99.027,59.4
2022-03-31,101.3241,102.6732,13619.382074,100.53,0.33,-1.0,21722.8,99.027,59.4
2022-04-01,101.6496,102.9024,11347.405351,99.32,0.33,0.3,21723.2,99.125,65.2
2022-04-02,101.6496,102.9024,11347.405351,99.32,0.33,0.3,21723.2,99.125,65.2
2022-04-03,101.6496,102.9024,11347.405351,99.32,0.33,0.3,21723.2,99.125,65.2
2022-04-04,101.6496,102.9024,11347.405351,103.29,0.33,0.3,21723.2,99.125,65.2
2022-04-05,101.6496,102.9024,11347.405351,101.98,0.33,0.3,21723.2,99.125,65.2
2022-04-06,101.6496,102.9024,11347.405351,96.39,0.33,0.3,21723.2,99.125,65.2
2022-04-07,101.6496,102.9024,11347.405351,96.05,0.33,0.3,21723.2,99.125,65.2
2022-04-08,101.6496,102.9024,11347.405351,98.35,0.33,0.3,21723.2,99.125,65.2
2022-04-09,101.6496,102.9024,11347.405351,98.35,0.33,0.3,21723.2,99.125,65.2
2022-04-10,101.6496,102.9024,11347.405351,98.35,0.33,0.3,21723.2,99.125,65.2
2022-04-11,101.6496,102.9024,11347.405351,94.22,0.33,0.3,21723.2,99.125,65.2
2022-04-12,101.6496,102.9024,11347.405351,100.52,0.33,0.3,21723.2,99.125,65.2
2022-04-13,101.6496,102.9024,11347.405351,104.26,0.33,0.3,21723.2,99.125,65.2
2022-04-14,101.6496,102.9024,11347.405351,106.84,0.33,0.3,21723.2,99.125,65.2
2022-04-15,101.6496,102.9024,11347.405351,106.84,0.33,0.3,21723.2,99.125,65.2
2022-04-16,101.6496,102.9024,11347.405351,106.84,0.33,0.3,21723.2,99.125,65.2
2022-04-17,101.6496,102.9024,11347.405351,106.84,0.33,0.3,21723.2,99.125,65.2
2022-04-18,101.6496,102.9024,11347.405351,108.24,0.33,0.3,21723.2,99.125,65.2
2022-04-19,101.6496,102.9024,11347.405351,102.54,0.33,0.3,21723.2,99.125,65.2
2022-04-20,101.6496,102.9024,11347.405351,102.56,0.33,0.3,21723.2,99.125,65.2
2022-04-21,101.6496,102.9024,11347.405351,103.89,0.33,0.3,21723.2,99.125,65.2
2022-04-22,101.6496,102.9024,11347.405351,102.86,0.33,0.3,21723.2,99.125,65.2
2022-04-23,101.6496,102.9024,11347.405351,102.86,0.33,0.3,21723.2,99.125,65.2
2022-04-24,101.6496,102.9024,11347.405351,102.86,0.33,0.3,21723.2,99.125,65.2
2022-04-25,101.6496,102.9024,11347.405351,99.6,0.33,0.3,21723.2,99.125,65.2
2022-04-26,101.6496,102.9024,11347.405351,102.62,0.33,0.3,21723.2,99.125,65.2
2022-04-27,101.6496,102.9024,11347.405351,101.96,0.33,0.3,21723.2,99.125,65.2
2022-04-28,101.6496,102.9024,11347.405351,105.47,0.33,0.3,21723.2,99.125,65.2
2022-04-29,101.6496,102.9024,11347.405351,104.59,0.33,0.3,21723.2,99.125,65.2
2022-04-30,101.6496,102.9024,11347.405351,104.59,0.33,0.3,21723.2,99.125,65.2
2022-05-01,100.6122,102.9659,12304.543146,104.59,0.33,0.3,21696.6,99.325,58.4
2022-05-02,100.6122,102.9659,12304.543146,105.18,0.33,0.3,21696.6,99.325,58.4
2022-05-03,100.6122,102.9659,12304.543146,102.53,0.33,0.3,21696.6,99.325,58.4
2022-05-04,100.6122,102.9659,12304.543146,107.84,0.33,0.3,21696.6,99.325,58.4
2022-05-05,100.6122,102.9659,12304.543146,108.17,0.83,0.3,21696.6,99.325,58.4
2022-05-06,100.6122,102.9659,12304.543146,109.72,0.83,0.3,21696.6,99.325,58.4
2022-05-07,100.6122,102.9659,12304.543146,109.72,0.83,0.3,21696.6,99.325,58.4
2022-05-08,100.6122,102.9659,12304.543146,109.72,0.83,0.3,21696.6,99.325,58.4
2022-05-09,100.6122,102.9659,12304.543146,103.08,0.83,0.3,21696.6,99.325,58.4
2022-05-10,100.6122,102.9659,12304.543146,99.74,0.83,0.3,21696.6,99.325,58.4
2022-05-11,100.6122,102.9659,12304.543146,105.5,0.83,0.3,21696.6,99.325,58.4
2022-05-12,100.6122,102.9659,12304.543146,106.15,0.83,0.3,21696.6,99.325,58.4
2022-05-13,100.6122,102.9659,12304.543146,110.52,0.83,0.3,21696.6,99.325,58.4
2022-05-14,100.6122,102.9659,12304.543146,110.52,0.83,0.3,21696.6,99.325,58.4
2022-05-15,100.6122,102.9659,12304.543146,110.52,0.83,0.3,21696.6,99.325,58.4
2022-05-16,100.6122,102.9659,12304.543146,114.07,0.83,0.3,21696.6,99.325,58.4
2022-05-17,100.6122,102.9659,12304.543146,112.31,0.83,0.3,21696.6,99.325,58.4
2022-05-18,100.6122,102.9659,12304.543146,109.67,0.83,0.3,21696.6,99.325,58.4
2022-05-19,100.6122,102.9659,12304.543146,112.21,0.83,0.3,21696.6,99.325,58.4
2022-05-20,100.6122,102.9659,12304.543146,112.63,0.83,0.3,21696.6,99.325,58.4
2022-05-21,100.6122,102.9659,12304.543146,112.63,0.83,0.3,21696.6,99.325,58.4
2022-05-22,100.6122,102.9659,12304.543146,112.63,0.83,0.3,21696.6,99.325,58.4
2022-05-23,100.6122,102.9659,12304.543146,110.32,0.83,0.3,21696.6,99.325,58.4
2022-05-24,100.6122,102.9659,12304.543146,112.55,0.83,0.3,21696.6,99.325,58.4
2022-05-25,100.6122,102.9659,12304.543146,112.88,0.83,0.3,21696.6,99.325,58.4
2022-05-26,100.6122,102.9659,12304.543146,116.19,0.83,0.3,21696.6,99.325,58.4
2022-05-27,100.6122,102.9659,12304.543146,114.96,0.83,0.3,21696.6,99.325,58.4
2022-05-28,100.6122,102.9659,12304.543146,114.96,0.83,0.3,21696.6,99.325,58.4
2022-05-29,100.6122,102.9659,12304.543146,114.96,0.83,0.3,21696.6,99.325,58.4
2022-05-30,100.6122,102.9659,12304.543146,114.96,0.83,0.3,21696.6,99.325,58.4
2022-05-31,100.6122,102.9659,12304.543146,114.38,0.83,0.3,21696.6,99.325,58.4
2022-06-01,100.5907,102.8224,11590.948434,115.26,0.83,0.3,21652.4,98.655,50.0
2022-06-02,100.5907,102.8224,11590.948434,116.88,0.83,0.3,21652.4,98.655,50.0
2022-06-03,100.5907,102.8224,11590.948434,118.97,0.83,0.3,21652.4,98.655,50.0
2022-06-04,100.5907,102.8224,11590.948434,118.97,0.83,0.3,21652.4,98.655,50.0
2022-06-05,100.5907,102.8224,11590.948434,118.97,0.83,0.3,21652.4,98.655,50.0
2022-06-06,100.5907,102.8224,11590.948434,118.41,0.83,0.3,21652.4,98.655,50.0
2022-06-07,100.5907,102.8224,11590.948434,119.55,0.83,0.3,21652.4,98.655,50.0
2022-06-08,100.5907,102.8224,11590.948434,121.94,0.83,0.3,21652.4,98.655,50.0
2022-06-09,100.5907,102.8224,11590.948434,121.52,0.83,0.3,21652.4,98.655,50.0
2022-06-10,100.5907,102.8224,11590.948434,120.73,0.83,0.3,21652.4,98.655,50.0
2022-06-11,100.5907,102.8224,11590.948434,120.73,0.83,0.3,21652.4,98.655,50.0
2022-06-12,100.5907,102.8224,11590.948434,120.73,0.83,0.3,21652.4,98.655,50.0
2022-06-13,100.5907,102.8224,11590.948434,120.92,0.83,0.3,21652.4,98.655,50.0
2022-06-14,100.5907,102.8224,11590.948434,118.92,0.83,0.3,21652.4,98.655,50.0
2022-06-15,100.5907,102.8224,11590.948434,115.32,0.83,0.3,21652.4,98.655,50.0
2022-06-16,100.5907,102.8224,11590.948434,117.56,1.58,0.3,21652.4,98.655,50.0
2022-06-17,100.5907,102.8224,11590.948434,109.56,1.58,0.3,21652.4,98.655,50.0
2022-06-18,100.5907,102.8224,11590.948434,109.56,1.58,0.3,21652.4,98.655,50.0
2022-06-19,100.5907,102.8224,11590.948434,109.56,1.58,0.3,21652.4,98.655,50.0
2022-06-20,100.5907,102.8224,11590.948434,109.56,1.58,0.3,21652.4,98.655,50.0
2022-06-21,100.5907,102.8224,11590.948434,110.49,1.58,0.3,21652.4,98.655,50.0
2022-06-22,100.5907,102.8224,11590.948434,106.22,1.58,0.3,21652.4,98.655,50.0
2022-06-23,100.5907,102.8224,11590.948434,105.75,1.58,0.3,21652.4,98.655,50.0
2022-06-24,100.5907,102.8224,11590.948434,109.07,1.58,0.3,21652.4,98.655,50.0
2022-06-25,100.5907,102.8224,11590.948434,109.07,1.58,0.3,21652.4,98.655,50.0
2022-06-26,100.5907,102.8224,11590.948434,109.07,1.58,0.3,21652.4,98.655,50.0
2022-06-27,100.5907,102.8224,11590.948434,111.44,1.58,0.3,21652.4,98.655,50.0
2022-06-28,100.5907,102.8224,11590.948434,113.66,1.58,0.3,21652.4,98.655,50.0
2022-06-29,100.5907,102.8224,11590.948434,111.65,1.58,0.3,21652.4,98.655,50.0
2022-06-30,100.5907,102.8224,11590.948434,107.76,1.58,0.3,21652.4,98.655,50.0
2022-07-01,102.0768,103.0505,12397.670112,110.3,1.58,2.7,21644.5,100.452,51.5
2022-07-02,102.0768,103.0505,12397.670112,110.3,1.58,2.7,21644.5,100.452,51.5
2022-07-03,102.0768,103.0505,12397.670112,110.3,1.58,2.7,21644.5,100.452,51.5
2022-07-04,102.0768,103.0505,12397.670112,110.3,1.58,2.7,21644.5,100.452,51.5
2022-07-05,102.0768,103.0505,12397.670112,101.55,1.58,2.7,21644.5,100.452,51.5
2022-07-06,102.0768,103.0505,12397.670112,100.31,1.58,2.7,21644.5,100.452,51.5
2022-07-07,102.0768,103.0505,12397.670112,104.62,1.58,2.7,21644.5,100.452,51.5
2022-07-08,102.0768,103.0505,12397.670112,106.78,1.58,2.7,21644.5,100.452,51.5
2022-07-09,102.0768,103.0505,12397.670112,106.78,1.58,2.7,21644.5,100.452,51.5
2022-07-10,102.0768,103.0505,12397.670112,106.78,1.58,2.7,21644.5,100.452,51.5
2022-07-11,102.0768,103.0505,12397.670112,106.09,1.58,2.7,21644.5,100.452,51.5
2022-07-12,102.0768,103.0505,12397.670112,97.69,1.58,2.7,21644.5,100.452,51.5
2022-07-13,102.0768,103.0505,12397.670112,98.44,1.58,2.7,21644.5,100.452,51.5
2022-07-14,102.0768,103.0505,12397.670112,97.79,1.58,2.7,21644.5,100.452,51.5
2022-07-15,102.0768,103.0505,12397.670112,99.59,1.58,2.7,21644.5,100.452,51.5
2022-07-16,102.0768,103.0505,12397.670112,99.59,1.58,2.7,21644.5,100.452,51.5
2022-07-17,102.0768,103.0505,12397.670112,99.59,1.58,2.7,21644.5,100.452,51.5
2022-07-18,102.0768,103.0505,12397.670112,104.48,1.58,2.7,21644.5,100.452,51.5
2022-07-19,102.0768,103.0505,12397.670112,106.12,1.58,2.7,21644.5,100.452,51.5
2022-07-20,102.0768,103.0505,12397.670112,104.45,1.58,2.7,21644.5,100.452,51.5
2022-07-21,102.0768,103.0505,12397.670112,98.44,1.58,2.7,21644.5,100.452,51.5
2022-07-22,102.0768,103.0505,12397.670112,97.71,1.58,2.7,21644.5,100.452,51.5
2022-07-23,102.0768,103.0505,12397.670112,97.71,1.58,2.7,21644.5,100.452,51.5
2022-07-24,102.0768,103.0505,12397.670112,97.71,1.58,2.7,21644.5,100.452,51.5
2022-07-25,102.0768,103.0505,12397.670112,99.83,1.58,2.7,21644.5,100.452,51.5
2022-07-26,102.0768,103.0505,12397.670112,97.74,1.58,2.7,21644.5,100.452,51.5
2022-07-27,102.0768,103.0505,12397.670112,100.03,1.58,2.7,21644.5,100.452,51.5
2022-07-28,102.0768,103.0505,12397.670112,99.11,2.33,2.7,21644.5,100.452,51.5
2022-07-29,102.0768,103.0505,12397.670112,101.31,2.32,2.7,21644.5,100.452,51.5
2022-07-30,102.0768,103.0505,12397.670112,101.31,2.32,2.7,21644.5,100.452,51.5
2022-07-31,102.0768,103.0505,12397.670112,101.31,2.32,2.7,21644.5,100.452,51.5
2022-08-01,102.9376,103.1703,12875.39317,96.59,2.33,2.7,21626.7,99.796,58.2
2022-08-02,102.9376,103.1703,12875.39317,97.14,2.33,2.7,21626.7,99.796,58.2
2022-08-03,102.9376,103.1703,12875.39317,93.25,2.33,2.7,21626.7,99.796,58.2
2022-08-04,102.9376,103.1703,12875.39317,91.29,2.33,2.7,21626.7,99.796,58.2
2022-08-05,102.9376,103.1703,12875.39317,91.77,2.33,2.7,21626.7,99.796,58.2
2022-08-06,102.9376,103.1703,12875.39317,91.77,2.33,2.7,21626.7,99.796,58.2
2022-08-07,102.9376,103.1703,12875.39317,91.77,2.33,2.7,21626.7,99.796,58.2
2022-08-08,102.9376,103.1703,12875.39317,93.52,2.33,2.7,21626.7,99.796,58.2
2022-08-09,102.9376,103.1703,12875.39317,93.18,2.33,2.7,21626.7,99.796,58.2
2022-08-10,102.9376,103.1703,12875.39317,94.68,2.33,2.7,21626.7,99.796,58.2
2022-08-11,102.9376,103.1703,12875.39317,97.02,2.33,2.7,21626.7,99.796,58.2
2022-08-12,102.9376,103.1703,12875.39317,94.86,2.33,2.7,21626.7,99.796,58.2
2022-08-13,102.9376,103.1703,12875.39317,94.86,2.33,2.7,21626.7,99.796,58.2
2022-08-14,102.9376,103.1703,12875.39317,94.86,2.33,2.7,21626.7,99.796,58.2
2022-08-15,102.9376,103.1703,12875.39317,92.24,2.33,2.7,21626.7,99.796,58.2
2022-08-16,102.9376,103.1703,12875.39317,89.23,2.33,2.7,21626.7,99.796,58.2
2022-08-17,102.9376,103.1703,12875.39317,90.85,2.33,2.7,21626.7,99.796,58.2
2022-08-18,102.9376,103.1703,12875.39317,93.2,2.33,2.7,21626.7,99.796,58.2
2022-08-19,102.9376,103.1703,12875.39317,93.55,2.33,2.7,21626.7,99.796,58.2
2022-08-20,102.9376,103.1703,12875.39317,93.55,2.33,2.7,21626.7,99.796,58.2
2022-08-21,102.9376,103.1703,12875.39317,93.55,2.33,2.7,21626.7,99.796,58.2
2022-08-22,102.9376,103.1703,12875.39317,93.42,2.33,2.7,21626.7,99.796,58.2
2022-08-23,102.9376,103.1703,12875.39317,96.46,2.33,2.7,21626.7,99.796,58.2
2022-08-24,102.9376,103.1703,12875.39317,95.52,2.33,2.7,21626.7,99.796,58.2
2022-08-25,102.9376,103.1703,12875.39317,93.33,2.33,2.7,21626.7,99.796,58.2
2022-08-26,102.9376,103.1703,12875.39317,93.63,2.33,2.7,21626.7,99.796,58.2
2022-08-27,102.9376,103.1703,12875.39317,93.63,2.33,2.7,21626.7,99.796,58.2
2022-08-28,102.9376,103.1703,12875.39317,93.63,2.33,2.7,21626.7,99.796,58.2
2022-08-29,102.9376,103.1703,12875.39317,97.4,2.33,2.7,21626.7,99.796,58.2
2022-08-30,102.9376,103.1703,12875.39317,92.08,2.33,2.7,21626.7,99.796,58.2
2022-08-31,102.9376,103.1703,12875.39317,90.09,2.33,2.7,21626.7,99.796,58.2
2022-09-01,103.1393,103.5326,11870.389024,87.09,2.33,2.7,21507.7,97.862,58.6
2022-09-02,103.1393,103.5326,11870.389024,87.29,2.33,2.7,21507.7,97.862,58.6
2022-09-03,103.1393,103.5326,11870.389024,87.29,2.33,2.7,21507.7,97.862,58.6
2022-09-04,103.1393,103.5326,11870.389024,87.29,2.33,2.7,21507.7,97.862,58.6
2022-09-05,103.1393,103.5326,11870.389024,87.29,2.33,2.7,21507.7,97.862,58.6
2022-09-06,103.1393,103.5326,11870.389024,87.35,2.33,2.7,21507.7,97.862,58.6
2022-09-07,103.1393,103.5326,11870.389024,82.5,2.33,2.7,21507.7,97.862,58.6
2022-09-08,103.1393,103.5326,11870.389024,84.04,2.33,2.7,21507.7,97.862,58.6
2022-09-09,103.1393,103.5326,11870.389024,87.27,2.33,2.7,21507.7,97.862,58.6
2022-09-10,103.1393,103.5326,11870.389024,87.27,2.33,2.7,21507.7,97.862,58.6
2022-09-11,103.1393,103.5326,11870.389024,87.27,2.33,2.7,21507.7,97.862,58.6
2022-09-12,103.1393,103.5326,11870.389024,88.18,2.33,2.7,21507.7,97.862,58.6
2022-09-13,103.1393,103.5326,11870.389024,87.84,2.33,2.7,21507.7,97.862,58.6
2022-09-14,103.1393,103.5326,11870.389024,88.88,2.33,2.7,21507.7,97.862,58.6
2022-09-15,103.1393,103.5326,11870.389024,85.72,2.33,2.7,21507.7,97.862,58.6
2022-09-16,103.1393,103.5326,11870.389024,85.57,2.33,2.7,21507.7,97.862,58.6
