Date,interest_rate,unemployment_rate,cpi,revolving_credit,delinquency_rate,personal_savings_rate,gdp_growth,consumer_sentiment,housing_starts,retail_sales
2022-07-28,2.33,3.5,294.977,1151.2427,2.07,3.1,2.7,51.5,1392.0,671067.0
2022-07-29,2.32,3.5,294.977,1151.2427,2.07,3.1,2.7,51.5,1392.0,671067.0
2022-07-30,2.32,3.5,294.977,1151.2427,2.07,3.1,2.7,51.5,1392.0,671067.0
2022-07-31,2.32,3.5,294.977,1151.2427,2.07,3.1,2.7,51.5,1392.0,671067.0
2022-08-01,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-02,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-03,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-04,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-05,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-06,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-07,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-08,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-09,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-10,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-11,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-12,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-13,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-14,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-15,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-16,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-17,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-18,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-19,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-20,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-21,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-22,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-23,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-24,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-25,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-26,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-27,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-28,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-29,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-30,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-08-31,2.33,3.6,295.209,1163.43443,2.07,3.1,2.7,58.2,1520.0,675107.0
2022-09-01,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-02,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-03,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-04,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-05,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-06,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-07,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-08,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-09,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-10,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-11,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-12,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-13,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-14,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-15,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-16,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-17,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-18,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-19,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-20,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-21,2.33,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-22,3.08,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-23,3.08,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-24,3.08,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-25,3.08,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-26,3.08,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-27,3.08,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-28,3.08,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-29,3.08,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-09-30,3.08,3.5,296.341,1173.53654,2.07,3.1,2.7,58.6,1470.0,673312.0
2022-10-01,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-02,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-03,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-04,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-05,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-06,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-07,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-08,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-09,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-10,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-11,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-12,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-13,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-14,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-15,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-16,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-17,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-18,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-19,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-20,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-21,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-22,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-23,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-24,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-25,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-26,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-27,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-28,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-29,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-30,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-10-31,3.08,3.6,297.863,1186.44544,2.26,3.2,3.4,59.9,1440.0,681748.0
2022-11-01,3.08,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-02,3.08,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-03,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-04,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-05,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-06,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-07,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-08,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-09,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-10,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-11,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-12,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-13,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-14,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-15,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-16,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-17,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-18,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-19,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-20,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-21,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-22,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-23,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-24,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-25,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-26,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-27,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-28,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-29,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-11-30,3.83,3.6,298.648,1198.71309,2.26,3.4,3.4,56.7,1420.0,673674.0
2022-12-01,3.83,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-02,3.83,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-03,3.83,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-04,3.83,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-05,3.83,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-06,3.83,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-07,3.83,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-08,3.83,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-09,3.83,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-10,3.83,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-11,3.83,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-12,3.83,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-13,3.83,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-14,3.83,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-15,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-16,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-17,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-18,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-19,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-20,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-21,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-22,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-23,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-24,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-25,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-26,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-27,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-28,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-29,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-30,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2022-12-31,4.33,3.5,298.812,1212.60016,2.26,3.7,3.4,59.8,1340.0,666734.0
2023-01-01,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-02,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-03,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-04,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-05,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-06,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-07,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-08,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-09,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-10,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-11,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-12,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-13,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-14,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-15,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-16,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-17,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-18,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-19,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-20,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-21,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-22,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-23,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-24,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-25,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-26,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-27,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-28,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-29,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-30,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-01-31,4.33,3.4,300.356,1221.12678,2.45,4.2,2.8,64.9,1361.0,693826.0
2023-02-01,4.33,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-02,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-03,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-04,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-05,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-06,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-07,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-08,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-09,4.57,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-10,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-11,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-12,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-13,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-14,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-15,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-16,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-17,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-18,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-19,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-20,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-21,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-22,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
2023-02-23,4.58,3.6,301.509,1226.56936,2.45,4.6,2.8,66.9,1404.0,686434.0
