Date,business_investment,software_spending,interest_rate,corporate_earnings,unemployment_rate,consumer_sentiment,gdp_growth,m2_money_supply,industrial_production
2022-01-01,90228.0,11208.9,0.07,2566.259,4.0,67.2,-1.0,21566.1,101.2146
2022-02-01,84445.0,11326.3,0.08,2566.259,3.8,62.8,-1.0,21621.0,101.8458
2022-03-01,81335.0,11451.8,0.08,2566.259,3.6,59.4,-1.0,21722.8,102.6732
2022-04-01,84325.0,11545.6,0.33,2728.056,3.7,65.2,0.3,21723.2,102.9024
2022-05-01,81384.0,11627.6,0.33,2728.056,3.6,58.4,0.3,21696.6,102.9659
2022-06-01,77728.0,11724.9,0.83,2728.056,3.6,50.0,0.3,21652.4,102.8224
2022-07-01,85320.0,11779.8,1.58,2845.696,3.5,51.5,2.7,21644.5,103.0505
2022-08-01,84064.0,11923.6,2.33,2845.696,3.6,58.2,2.7,21626.7,103.1703
2022-09-01,81233.0,12006.4,2.33,2845.696,3.5,58.6,2.7,21507.7,103.5326
2022-10-01,88213.0,12070.8,3.08,2809.855,3.6,59.9,3.4,21433.4,103.4442
2022-11-01,81129.0,12129.0,3.08,2809.855,3.6,56.7,3.4,21367.1,103.1058
2022-12-01,84472.0,12226.5,3.83,2809.855,3.5,59.8,3.4,21273.1,101.8266
2023-01-01,85910.0,12361.7,4.33,2796.826,3.4,64.9,2.8,21188.2,102.7476
2023-02-01,80327.0,12420.1,4.33,2796.826,3.6,66.9,2.8,21117.7,102.8003
2023-03-01,86009.0,12482.5,4.58,2796.826,3.5,62.0,2.8,20870.6,102.8143
2023-04-01,88308.0,12541.4,4.83,2835.546,3.4,63.7,2.4,20712.2,103.2241
2023-05-01,91942.0,12591.0,4.83,2835.546,3.7,59.0,2.4,20804.8,102.9809
2023-06-01,99644.0,12660.3,5.08,2835.546,3.6,64.2,2.4,20788.5,102.3809
2023-07-01,90739.0,12740.9,5.08,2953.039,3.5,71.5,4.4,20762.6,103.0722
2023-08-01,88789.0,12766.4,5.33,2953.039,3.8,69.4,4.4,20735.0,103.0951
2023-09-01,96830.0,12835.9,5.33,2953.039,3.8,67.8,4.4,20681.4,103.3081
2023-10-01,86154.0,12903.9,5.33,3101.834,3.8,63.8,3.2,20662.5,102.5781
2023-11-01,107388.0,12995.1,5.33,3101.834,3.7,61.3,3.2,20675.7,102.8868
2023-12-01,95548.0,13087.2,5.33,3101.834,3.7,69.7,3.2,20725.4,102.6309
2024-01-01,82898.0,13192.6,5.33,3036.702,3.7,79.0,1.6,20725.9,101.483
2024-02-01,85806.0,13278.5,5.33,3036.702,3.9,76.9,1.6,20761.8,102.7267
2024-03-01,86859.0,13356.7,5.33,3036.702,3.8,79.4,1.6,20862.9,102.5186
2024-04-01,84376.0,13417.3,5.33,3141.557,3.9,77.2,3.0,20881.1,102.3568
2024-05-01,84064.0,13478.5,5.33,3141.557,4.0,69.1,3.0,20959.4,102.9797
2024-06-01,64880.0,13538.5,5.33,3141.557,4.1,68.2,3.0,21020.1,103.2768
2024-07-01,92146.0,13594.6,5.33,3141.557,4.3,66.4,2.8,21039.4,102.5381
2024-08-01,88059.0,13663.9,5.33,3141.557,4.2,67.9,2.8,21141.2,103.0449
2024-09-01,84180.0,13736.0,5.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-02,84180.0,13736.0,0.07,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-03,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-04,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-05,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-06,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-07,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-08,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-09,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-10,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-11,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-12,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-13,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-14,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-15,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-16,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-17,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-18,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-19,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-20,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-21,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-22,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-23,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-24,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-25,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-26,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-27,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-28,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-29,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-30,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-01-31,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-02,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-03,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-04,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-05,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-06,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-07,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-08,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-09,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-10,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-11,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-12,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-13,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-14,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-15,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-16,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-17,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-18,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-19,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-20,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-21,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-22,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-23,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-24,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-25,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-26,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-27,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-02-28,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-02,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-03,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-04,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-05,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-06,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-07,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-08,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-09,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-10,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-11,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-12,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-13,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-14,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-15,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-16,84180.0,13736.0,0.08,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-17,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-18,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-19,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-20,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-21,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-22,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-23,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-24,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-25,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-26,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-27,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-28,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-29,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-30,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-03-31,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-02,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-03,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-04,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-05,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-06,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-07,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-08,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-09,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-10,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-11,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-12,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-13,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-14,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-15,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-16,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-17,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-18,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-19,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-20,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-21,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-22,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-23,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-24,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-25,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-26,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-27,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-28,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-29,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-04-30,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-02,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-03,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-04,84180.0,13736.0,0.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-05,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-06,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-07,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-08,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-09,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-10,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-11,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-12,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-13,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-14,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-15,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-16,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-17,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-18,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-19,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-20,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-21,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-22,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-23,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-24,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-25,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-26,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-27,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-28,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-29,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-30,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-05-31,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-02,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-03,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-04,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-05,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-06,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-07,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-08,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-09,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-10,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-11,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-12,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-13,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-14,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-15,84180.0,13736.0,0.83,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-16,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-17,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-18,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-19,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-20,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-21,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-22,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-23,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-24,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-25,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-26,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-27,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-28,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-29,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-06-30,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-02,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-03,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-04,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-05,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-06,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-07,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-08,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-09,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-10,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-11,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-12,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-13,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-14,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-15,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-16,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-17,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-18,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-19,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-20,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-21,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-22,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-23,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-24,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-25,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-26,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-27,84180.0,13736.0,1.58,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-28,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-29,84180.0,13736.0,2.32,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-30,84180.0,13736.0,2.32,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-07-31,84180.0,13736.0,2.32,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-02,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-03,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-04,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-05,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-06,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-07,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-08,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-09,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-10,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-11,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-12,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-13,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-14,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-15,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-16,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-17,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-18,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-19,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-20,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-21,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-22,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-23,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-24,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-25,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
